seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.240801155567169189E+00,0.948988755288682739E+01,0.162376272678375244E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.189674198627471924E+00,0.308163940906524658E+00,0.550432593130750683E+05,0.552787985678366167E+05,0.557511565566249337E+05,0.287651566165886425E+04
0.192637681961059570E+00,0.295116324710838960E+02,0.199371802806854248E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.273507416248321533E+00,0.848998606204986572E+00,0.550429601875228909E+05,0.552785024314573748E+05,0.557509020780511346E+05,0.287651566165886425E+04
0.360945165157318115E+00,0.252032734872027753E+01,0.185105097293853760E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.558783829212188721E+00,0.722096741199493408E+00,0.550432835313959149E+05,0.552791630693129046E+05,0.557519114724584069E+05,0.287651566165886425E+04
0.648454546928405762E+00,0.771049639294097666E+01,0.184388446807861328E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.248638391494750977E+00,0.102710723876953125E-01,0.550437547558231381E+05,0.552795177140882952E+05,0.557510612720437493E+05,0.287651566165886425E+04
0.929809808731079102E-01,0.601302854505312396E+06,0.171490693092346191E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.834226191043853760E+00,0.155663490295410156E+00,0.550434435070438412E+05,0.552797042792490465E+05,0.557519612926431146E+05,0.287651566165886425E+04
0.120903551578521729E+00,0.603039883155960590E+06,0.185159707069396973E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.369487941265106201E+00,0.626782417297363281E+00,0.550422075684947995E+05,0.552794832412651522E+05,0.557514542784877267E+05,0.287651566165886425E+04
0.215437948703765869E+00,0.558540074294264632E+05,0.168108010292053223E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.467331349849700928E+00,0.136556029319763184E-01,0.550438113585395840E+05,0.552784160409620745E+05,0.557509106830544915E+05,0.287651566165886425E+04
0.573413491249084473E+00,0.190053637189936566E+02,0.162170541286468506E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.559612452983856201E+00,0.523266494274139404E+00,0.550436411628408459E+05,0.552794932287386400E+05,0.557518077027984109E+05,0.287651566165886425E+04
0.365969777107238770E+00,0.248499308105379023E+05,0.169569730758666992E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.405916571617126465E-01,0.294396877288818359E-01,0.550439477127475766E+05,0.552789034102610094E+05,0.557514666286893334E+05,0.287651566165886425E+04
0.215839743614196777E+00,0.113252195731345146E+05,0.185999977588653564E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.123131453990936279E+00,0.294867575168609619E+00,0.550420112708492306E+05,0.552781620529345018E+05,0.557511323054023233E+05,0.287651566165886425E+04
0.108200430870056152E+00,0.125076464925026638E+06,0.144122707843780518E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.805351793766021729E+00,0.784298837184906006E+00,0.550424951283617047E+05,0.552787526406696779E+05,0.557507306418605294E+05,0.287651566165886425E+04
0.234227955341339111E+00,0.395685160337971502E+04,0.184685814380645752E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.450402498245239258E-02,0.247594654560089111E+00,0.550424876985235242E+05,0.552798761555603487E+05,0.557510184920020547E+05,0.287651566165886425E+04
0.995659828186035156E-02,0.108808378956505916E+02,0.164821696281433105E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.466410517692565918E+00,0.297243773937225342E+00,0.550422093652172116E+05,0.552796108161858065E+05,0.557520476902909722E+05,0.287651566165886425E+04
0.173815786838531494E+00,0.682002943658592073E+02,0.147445225715637207E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.544368624687194824E-01,0.767314910888671875E+00,0.550427824717445401E+05,0.552787973317554934E+05,0.557516107169576135E+05,0.287651566165886425E+04
0.146944642066955566E+00,0.808946655356049268E+04,0.143078279495239258E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.521253943443298340E+00,0.165478825569152832E+00,0.550426216814203290E+05,0.552784080951860888E+05,0.557515894278474298E+05,0.287651566165886425E+04
0.148488283157348633E+00,0.585026200956761272E+03,0.158430457115173340E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.764528393745422363E+00,0.838887095451354980E-01,0.550423506668491391E+05,0.552796676966598970E+05,0.557507427823729959E+05,0.287651566165886425E+04
0.894284069538116455E+00,0.932755479323633665E+02,0.195041739940643311E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.546899318695068359E+00,0.271022737026214600E+00,0.550437166251821545E+05,0.552783883954933626E+05,0.557517961391396966E+05,0.287651566165886425E+04
0.194000601768493652E-01,0.197963155488821690E+04,0.135185170173645020E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.332906961441040039E+00,0.466367483139038086E+00,0.550424786867780713E+05,0.552782292206934435E+05,0.557512028438039270E+05,0.287651566165886425E+04
0.812236487865447998E+00,0.243118965484232322E+06,0.191402602195739746E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.913759052753448486E+00,0.816577374935150146E+00,0.550432604320926694E+05,0.552787761296680910E+05,0.557513253872580972E+05,0.287651566165886425E+04
0.359086513519287109E+00,0.628129875273949789E+01,0.188524127006530762E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.544639050960540771E+00,0.420357286930084229E+00,0.550421786735935239E+05,0.552786531288078768E+05,0.557522861051745858E+05,0.287651566165886425E+04
0.228200137615203857E+00,0.803305540023648312E+01,0.182416570186614990E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.114602327346801758E+00,0.409364521503448486E+00,0.550421757082624463E+05,0.552796598405292971E+05,0.557505311591811624E+05,0.287651566165886425E+04
0.787946283817291260E+00,0.315958623257007894E+05,0.194932377338409424E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.532200694084167480E+00,0.318091511726379395E-01,0.550423873555345563E+05,0.552781051638773424E+05,0.557521563582606759E+05,0.287651566165886425E+04
